"Vendor","Model","Attributes","Value"
"ncr","v8565:ii","PRP",21
"ncr","v8565:ii","ERP",35
"ncr","v8565:ii-e","CACH",0
"ncr","v8565:ii-e","CHMIN",1
"ncr","v8565:ii-e","CHMAX",8
"ncr","v8565:ii-e","PRP",24
"ncr","v8565:ii-e","ERP",41
"ncr","v8575:ii","CACH",0
"ncr","v8575:ii","CHMIN",1
"ncr","v8575:ii","CHMAX",8
"ncr","v8575:ii","PRP",34
"ncr","v8575:ii","ERP",47
"ncr","v8585:ii","CACH",0
"ncr","v8585:ii","CHMIN",1
"ncr","v8585:ii","CHMAX",8
"ncr","v8585:ii","PRP",42
"ncr","v8585:ii","ERP",62
"ncr","v8595:ii","CACH",0
"ncr","v8595:ii","CHMIN",1
"ncr","v8595:ii","CHMAX",8
"ncr","v8595:ii","PRP",46
"ncr","v8595:ii","ERP",78
"ncr","v8635","CACH",32
"ncr","v8635","CHMIN",16
"ncr","v8635","CHMAX",32
"ncr","v8635","PRP",51
"ncr","v8635","ERP",80
"ncr","v8650","CACH",32
"ncr","v8650","CHMIN",16
"ncr","v8650","CHMAX",32
"ncr","v8650","PRP",116
"ncr","v8650","ERP",80
"ncr","v8655","CACH",64
"ncr","v8655","CHMIN",4
"ncr","v8655","CHMAX",8
"ncr","v8655","PRP",100
"ncr","v8655","ERP",142
"ncr","v8665","CACH",160
"ncr","v8665","CHMIN",4
"ncr","v8665","CHMAX",8
"ncr","v8665","PRP",140
"ncr","v8665","ERP",281
"ncr","v8670","CACH",128
"ncr","v8670","CHMIN",16
"ncr","v8670","CHMAX",32
"ncr","v8670","PRP",212
"ncr","v8670","ERP",190
"nixdorf","8890/30","CACH",0
"nixdorf","8890/30","CHMIN",1
"nixdorf","8890/30","CHMAX",2
"nixdorf","8890/30","PRP",25
"nixdorf","8890/30","ERP",21
"nixdorf","8890/50","CACH",0
"nixdorf","8890/50","CHMIN",1
"nixdorf","8890/50","CHMAX",4
"nixdorf","8890/50","PRP",30
"nixdorf","8890/50","ERP",25
"nixdorf","8890/70","CACH",64
"nixdorf","8890/70","CHMIN",1
"nixdorf","8890/70","CHMAX",5
"nixdorf","8890/70","PRP",41
"nixdorf","8890/70","ERP",67
"perkin-elmer","3205","CACH",0
"perkin-elmer","3205","CHMIN",1
"perkin-elmer","3205","CHMAX",7
"perkin-elmer","3205","PRP",25
"perkin-elmer","3205","ERP",24
"perkin-elmer","3210","CACH",0
"perkin-elmer","3210","CHMIN",4
"perkin-elmer","3210","CHMAX",7
"perkin-elmer","3210","PRP",50
"perkin-elmer","3210","ERP",24
"perkin-elmer","3230","CACH",1
"perkin-elmer","3230","CHMIN",1
"perkin-elmer","3230","CHMAX",8
"perkin-elmer","3230","PRP",50
"perkin-elmer","3230","ERP",64
"prime","50-2250","CACH",2
"prime","50-2250","CHMIN",1
"prime","50-2250","CHMAX",5
"prime","50-2250","PRP",30
"prime","50-2250","ERP",25
"prime","50-250-ii","CACH",2
"prime","50-250-ii","CHMIN",3
"prime","50-250-ii","CHMAX",8
"prime","50-250-ii","PRP",32
"prime","50-250-ii","ERP",20
"prime","50-550-ii","CACH",8
"prime","50-550-ii","CHMIN",1
"prime","50-550-ii","CHMAX",14
"prime","50-550-ii","PRP",38
"prime","50-550-ii","ERP",29
"prime","50-750-ii","CACH",16
"prime","50-750-ii","CHMIN",1
"prime","50-750-ii","CHMAX",14
"prime","50-750-ii","PRP",60
"prime","50-750-ii","ERP",43
"prime","50-850-ii","CACH",32
"prime","50-850-ii","CHMIN",1
"prime","50-850-ii","CHMAX",13
"prime","50-850-ii","PRP",109
"prime","50-850-ii","ERP",53
"siemens","7.521","CACH",8
"siemens","7.521","CHMIN",1
"siemens","7.521","CHMAX",3
"siemens","7.521","PRP",6
"siemens","7.521","ERP",19
"siemens","7.531","CACH",8
"siemens","7.531","CHMIN",1
"siemens","7.531","CHMAX",5
"siemens","7.531","PRP",11
"siemens","7.531","ERP",22
"siemens","7.536","CACH",8
"siemens","7.536","CHMIN",3
"siemens","7.536","CHMAX",8
"siemens","7.536","PRP",22
"siemens","7.536","ERP",31
"siemens","7.541","CACH",16
"siemens","7.541","CHMIN",6
"siemens","7.541","CHMAX",16
"siemens","7.541","PRP",33
"siemens","7.541","ERP",41
"siemens","7.551","CACH",16
"siemens","7.551","CHMIN",4
"siemens","7.551","CHMAX",14
"siemens","7.551","PRP",58
"siemens","7.551","ERP",47
"siemens","7.561","CACH",32
"siemens","7.561","CHMIN",4
"siemens","7.561","CHMAX",12
"siemens","7.561","PRP",130
"siemens","7.561","ERP",99
"siemens","7.865-2","CACH",8
"siemens","7.865-2","CHMIN",6
"siemens","7.865-2","CHMAX",8
"siemens","7.865-2","PRP",75
"siemens","7.865-2","ERP",67
"siemens","7.870-2","CACH",32
"siemens","7.870-2","CHMIN",6
"siemens","7.870-2","CHMAX",12
"siemens","7.870-2","PRP",113
"siemens","7.870-2","ERP",81
"siemens","7.872-2","CACH",64
"siemens","7.872-2","CHMIN",12
"siemens","7.872-2","CHMAX",24
"siemens","7.872-2","PRP",188
"siemens","7.872-2","ERP",149
"siemens","7.875-2","CACH",32
"siemens","7.875-2","CHMIN",8
"siemens","7.875-2","CHMAX",16
"siemens","7.875-2","PRP",173
"siemens","7.875-2","ERP",183
"siemens","7.880-2","CACH",64
"siemens","7.880-2","CHMIN",12
"siemens","7.880-2","CHMAX",16
"siemens","7.880-2","PRP",248
"siemens","7.880-2","ERP",275
"siemens","7.881-2","CACH",128
"siemens","7.881-2","CHMIN",24
"siemens","7.881-2","CHMAX",32
"siemens","7.881-2","PRP",405
"siemens","7.881-2","ERP",382
"sperry","1100/61-h1","CACH",32
"sperry","1100/61-h1","CHMIN",5
"sperry","1100/61-h1","CHMAX",28
"sperry","1100/61-h1","PRP",70
"sperry","1100/61-h1","ERP",56
"sperry","1100/81","CACH",24
"sperry","1100/81","CHMIN",6
"sperry","1100/81","CHMAX",26
"sperry","1100/81","PRP",114
"sperry","1100/81","ERP",182
"sperry","1100/82","CACH",48
"sperry","1100/82","CHMIN",26
"sperry","1100/82","CHMAX",52
"sperry","1100/82","PRP",208
"sperry","1100/82","ERP",227
"sperry","1100/83","CACH",112
"sperry","1100/83","CHMIN",52
"sperry","1100/83","CHMAX",104
"sperry","1100/83","PRP",307
"sperry","1100/83","ERP",341
"sperry","1100/84","CACH",112
"sperry","1100/84","CHMIN",52
"sperry","1100/84","CHMAX",104
"sperry","1100/84","PRP",397
"sperry","1100/84","ERP",360
"sperry","1100/93","CACH",96
"sperry","1100/93","CHMIN",12
"sperry","1100/93","CHMAX",176
"sperry","1100/93","PRP",915
"sperry","1100/93","ERP",919
"sperry","1100/94","CACH",128
"sperry","1100/94","CHMIN",12
"sperry","1100/94","CHMAX",176
"sperry","1100/94","PRP",1150
"sperry","1100/94","ERP",978
"sperry","80/3","CACH",0
"sperry","80/3","CHMIN",1
"sperry","80/3","CHMAX",3
"sperry","80/3","PRP",12
"sperry","80/3","ERP",24
"sperry","80/4","CACH",0
"sperry","80/4","CHMIN",1
"sperry","80/4","CHMAX",3
"sperry","80/4","PRP",14
"sperry","80/4","ERP",24
"sperry","80/5","CACH",0
"sperry","80/5","CHMIN",1
"sperry","80/5","CHMAX",3
"sperry","80/5","PRP",18
"sperry","80/5","ERP",24
"sperry","80/6","CACH",0
"sperry","80/6","CHMIN",1
"sperry","80/6","CHMAX",3
"sperry","80/6","PRP",21
"sperry","80/6","ERP",24
"sperry","80/8","CACH",0
"sperry","80/8","CHMIN",1
"sperry","80/8","CHMAX",8
"sperry","80/8","PRP",42
"sperry","80/8","ERP",37
"sperry","90/80-model-3","CACH",32
"sperry","90/80-model-3","CHMIN",2
"sperry","90/80-model-3","CHMAX",8
"sperry","90/80-model-3","PRP",46
"sperry","90/80-model-3","ERP",50
"sratus","32","CACH",0
"sratus","32","CHMIN",2
"sratus","32","CHMAX",14
"sratus","32","PRP",52
"sratus","32","ERP",41
"wang","vs-100","CACH",32
"wang","vs-100","CHMIN",0
"wang","vs-100","CHMAX",0
"wang","vs-100","PRP",67
"wang","vs-100","ERP",47
"wang","vs-90","CACH",0
"wang","vs-90","CHMIN",0
"wang","vs-90","CHMAX",0
"wang","vs-90","PRP",45
"wang","vs-90","ERP",25
